C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,ID
3577.404900310278,1841.0187744161726,-57.26836830256327,713.2699453687678,-941.6419857699727,-1149.170695743943,522.8673532628893,1485.7201274209099,390.2765337325234,-320.1115663286333,-180.54191999595642,-186.12629631243922,97.28523608573887,114.40087543181856,-378.08509009871165,-89.38214420234303,793.0251028692702,-344.6917130769879,-402.1937332425719,-1119.8540920242247,005
191.70019023497613,2865.0016843688622,1038.2564865351974,2407.172030150066,-194.9374771281873,1102.6428771617102,-284.9604453057178,895.4273637581979,-190.62859972701713,2626.1732433678635,-1626.894127875084,4581.684505494485,2425.473311702633,1924.8439672629925,-399.93284869210595,394.1406358876465,-95.26351980176247,-531.9142136610117,-199.70442044735466,124.60438148373805,005
3578.0041505876684,-1755.4857642746413,513.8686235910817,113.69110369069669,-585.9000741933716,-389.8449946752898,1102.036321938165,-752.3695097517281,343.69063992862453,160.2805195755772,155.73750058742033,106.66477450580692,206.00125782950383,-163.28196903330957,-336.4106746421005,-42.93191275691305,-274.2579935635118,92.95213164226013,337.02273713087743,-258.50461689989083,005
2173.1133495704007,1036.3664718710859,303.0661660716908,918.6426747175262,-793.0571098383716,-727.4917241236959,208.2874482810243,-630.3664615072352,-109.340799001636,86.33235182423815,-177.26466977960428,243.2996620385109,-409.8684449955277,57.863368732847924,198.02314153089765,-174.87058887675965,342.441265830462,-76.37618429666645,-347.70553418420354,-783.5685986407098,005
2524.028459694498,1178.2911497547714,179.28106286445433,828.1975056279629,-835.4703272815683,-803.8724324604771,282.2430235005354,-677.9575272679222,-68.10633787916099,29.310936244080676,-2.4544257762032253,175.2415171139185,-337.35195178712644,-26.29181433421325,223.0845241050724,-24.995696756111606,317.53340753729515,50.15212025391661,-560.1381255060817,-572.6308690239126,005
3740.824089190191,-1186.1009032966338,229.9657917432638,-257.56701823226956,-500.73899892362624,-461.32589377859347,1069.4529301082646,-343.49173462461357,296.8086582937135,-422.31670702393956,-388.454976984117,62.60770631560624,-223.10929217917203,181.46002477874126,-729.3659978826175,-134.06093234090818,331.35370607953064,-42.082435135348234,67.27773214456631,-463.75375559773585,005
1106.7229926287957,-4542.070305511946,1437.6588280193828,1042.8679811556258,545.3864951002723,490.84263483715216,-1312.4547065746294,-280.95942128388015,-497.70845185179434,1269.8438944375453,959.5052130922718,170.82991119465981,-870.833728180256,-286.95119737507093,-160.78016658739492,436.7592367724739,205.32585206333007,-529.5312813590765,690.9708246278263,-390.00343816527453,005
1883.646925652189,2083.586677745704,140.2286023535165,735.5649647143833,-1628.590700272703,-1387.5220287210175,24.683130714639884,-218.45673688406166,3.107340023791918,69.1631929772625,-438.7980644331442,206.6112582507966,-226.92319391645202,-225.99246270307165,170.94830555896178,-510.91417673516884,-30.746351069275235,11.040036703083398,-353.7943058467944,-850.5385361722253,005
1348.3001865961628,132.01605824047226,482.119196866143,558.745319484441,-1110.1642149197457,-663.3409116082494,-371.52365469493736,-423.8304457919621,-221.97592369163627,103.11283297405015,-174.1081971958878,132.86955307490572,-704.300489285355,-18.170300599896855,215.19162696526766,-172.0431469981851,83.07587198864297,87.26212664481744,-88.94102719778819,43.32434059097164,005
1043.3137068532324,-672.2777827171076,415.9887094055746,248.7250680654315,-538.4972541604564,-157.99299189023532,-161.9214224584535,-682.5256547445158,-182.09763140252008,-334.6528206218279,-484.3693603295035,74.47039513712566,-611.1320208701351,564.016967328887,-28.023150899432384,-367.4708828756398,262.9021262584844,-335.81523187509583,84.24389376742515,1.3555107964904265,005
-3887.045731967869,1647.787537233745,-1097.742929389871,-1150.8567620499398,-406.07494967740104,-211.2204974028678,1455.205225684058,-89.25454621421117,349.1953007616291,1168.559749480209,-198.30003053424383,-174.43417451430804,-1066.560141104786,444.2510095109648,214.07978164561183,-516.2216583661021,-7.356869283811558,171.156054128219,-210.86329877113968,67.84314290973539,010
-3956.5767746395627,1018.5131594826455,-968.511180201766,-899.4238541733288,-161.1645387379929,-165.7471287259128,840.4668366751866,-175.9296440167922,81.72268416392028,385.6943991420493,-1049.9964734399612,-369.7322960914261,-170.99889700241226,-265.2384610745235,190.76433542464537,-150.9866938115145,66.70927602065746,94.18911417594866,111.83275325481505,-296.89205901905524,010
-4046.08484740765,1769.6002472590287,-1211.3433132252503,-1373.0604693698986,-632.5202210812192,-269.38951834609736,1786.209094017189,7.216508846998626,474.256250536867,2267.4891500348313,818.6318740735433,-1030.3406641441431,-615.1923555249166,848.7950758374907,-231.005165542611,-1154.667804339494,120.79980466635106,-165.6621766722054,124.34484334101735,400.29933427469626,010
-3368.8867754609914,-85.35703039556685,41.81162007642532,368.7098726356039,-221.16714045761682,37.88373273578478,-1157.6944390538895,-176.77142750667534,-427.68696817727624,-1033.6917968896093,-817.5742592340533,86.79035685150632,527.489225027291,-170.89887918897483,97.85565790446866,-403.61216710042135,96.22965313714691,54.722657837423526,-405.5316199237092,313.85829658952065,010
-3850.0448336288955,-25.875042444601714,-603.7762576403675,-155.2357123848241,165.02802127686368,6.54671319559356,-597.4401484103562,-99.18277382994714,-121.76327881596926,-1442.0379399179517,-624.0911361463559,285.59230370761037,1018.4217168171111,-628.6143221932629,24.08101625405995,-104.33488513518697,-68.3865189467096,169.8413924434029,-116.54535160537732,-112.34608045949864,010
-3747.770227999901,1366.969675132799,-939.3745925291258,-929.8780591055261,-424.52024684036036,-249.48266403269253,935.1363062080584,-189.09437357645461,243.84247950500423,551.2229546797154,-1176.1758744027911,-569.872804031673,-2.8128277756033353,-85.08754765918889,-33.20771140442743,-10.522926562759931,-2.4807067120466346,457.32893500763583,-530.651575664499,-392.0233794921015,010
-3741.9331779415343,720.7495800507346,-514.6977055081243,-293.1858989332691,-219.36638546157835,-96.30104023015056,-135.5017176012218,-229.0363431961166,-224.40350285698491,-338.22434739186286,-1311.5880274821684,-237.48516941008646,217.27412440240923,-387.77752888567517,307.6273181122697,-191.1676960226627,176.9142155360015,-21.97819280343365,-38.41733324144878,-29.877686561797937,010
-3523.991059738501,503.35952312819194,-294.62458093999277,33.30710942805502,-171.67937102836754,-94.77189870253777,-520.7595674925353,-252.88950569336455,-457.5411710161508,-404.342502811117,-1346.6570147569917,-204.43093877467467,22.593693792016904,-325.26227789433756,402.0743282477263,-256.85968084523955,99.6196137917324,-265.2326879662282,371.1988365421055,-36.76560180357848,010
-3775.5099553147825,947.3683379295876,-631.9664663701736,-442.80674330421846,-290.5759401828993,-143.75405237680386,47.42276944489976,-203.9817059864583,-152.53798273288785,-70.4958303390045,-1405.4444990625432,-518.1808653691606,161.77071073282733,-84.07177787945126,177.79185559590056,-54.660158556595675,-101.77163084882638,253.96182715522758,-276.12981061698633,51.70569155338275,010
-3257.994459148332,28.444417603126578,38.22908662625155,245.80293507736562,-258.54402121060394,0.26184294914286055,-753.8401693186934,-224.22082406117988,-388.4931916604983,-556.9295713559036,-984.1879808619562,188.31557476066578,66.41637206238218,-471.3351073422756,332.9402144046759,-306.1858314572166,281.51287122572165,-132.58148322136574,-68.37912309494791,57.61130556867578,010
4350.4604072086895,1683.9718960968703,-820.0216158942384,-689.2147269337222,-1365.7866802168917,-934.3901473586143,405.5985292898616,-1264.8281024263297,142.41269594035595,-1222.435900815557,372.157122722134,-569.6373305538207,240.5136003407411,1036.641182687004,-167.33855001043622,627.9462716546822,879.574433176486,-554.8591203543552,-265.7569380277813,482.0059595237736,013
3753.412997784544,3170.0207732712097,-912.1386139271583,-229.72373893573473,-1970.3384159201573,-1584.3636231674507,-593.4055726203982,-1012.7861468143005,-123.66130807600875,-891.6119036041562,732.3582790971113,-645.2218284021799,255.13861164509967,666.2410688343916,398.6808954101125,690.126872773185,836.9199723877562,-122.10325797806516,-452.53296379575244,361.7235010088192,013
